0,10.932412147521973,10.932568550109863
200,7.419571399688721,7.424041748046875
400,5.210443496704102,5.229779243469238
600,4.6953444480896,4.725799083709717
800,4.392092227935791,4.434864044189453
1000,4.159663200378418,4.220967769622803
1200,3.9724063873291016,4.041103839874268
1400,3.812150001525879,3.893803119659424
1600,3.7015349864959717,3.7908856868743896
1800,3.587631940841675,3.6893746852874756
2000,3.487468957901001,3.621109962463379
2200,3.4062414169311523,3.561379909515381
2400,3.34013295173645,3.5089383125305176
2600,3.280863046646118,3.465484380722046
2800,3.2237672805786133,3.4124791622161865
3000,3.1771857738494873,3.391310214996338
3200,3.1307179927825928,3.366035223007202
3400,3.0819854736328125,3.33311128616333
3600,3.0449132919311523,3.3235244750976562
3800,3.0108838081359863,3.2916717529296875
4000,2.9746158123016357,3.282047986984253
4200,2.9433753490448,3.2613608837127686
4400,2.9097139835357666,3.259953022003174
4600,2.88508677482605,3.2407073974609375
4800,2.8537096977233887,3.2344861030578613
5000,2.8277645111083984,3.22269344329834
5200,2.7991583347320557,3.215682029724121
5400,2.7793829441070557,3.2126200199127197
5600,2.743135929107666,3.199784517288208
5800,2.728156089782715,3.2025747299194336
6000,2.703545570373535,3.198000192642212
6200,2.680856227874756,3.185741901397705
6400,2.6583948135375977,3.184445858001709
6600,2.633521795272827,3.186490535736084
